                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                   2.81,                 1.9618,                 2.1856,                0.84184,                0.51364,                0.65004,                0.27625,                 3.7818,                 2.6562,                 2.4447,              0.0013268,              0.0013268,              0.0013268
                     36,                  2.855,                 1.8484,                 2.2696,                0.71193,                0.62281,                 0.6585,                0.29063,                 3.7606,                 2.4557,                 2.3873,               0.001307,               0.001307,               0.001307
                     37,                 2.7523,                 1.8813,                 2.2258,                0.81163,                0.56695,                0.68445,                0.30088,                 3.5497,                  2.505,                 2.3666,              0.0012872,              0.0012872,              0.0012872
                     38,                 2.8201,                 1.8845,                  2.255,                 0.8933,                    0.5,                0.63874,                0.28344,                 3.8272,                 2.4753,                  2.387,              0.0012674,              0.0012674,              0.0012674
                     39,                 2.6338,                 1.7189,                  2.183,                0.68947,                0.53509,                0.61364,                0.25958,                 3.7101,                 2.5432,                 2.4043,              0.0012476,              0.0012476,              0.0012476
                     40,                  2.719,                 1.7898,                 2.1633,                0.70232,                0.53812,                0.60536,                0.28231,                 3.5169,                 2.5553,                 2.4493,              0.0012278,              0.0012278,              0.0012278
                     41,                 2.7497,                 1.8617,                 2.1819,                0.64548,                0.54303,                0.58082,                0.26191,                 3.8647,                 2.4207,                 2.4612,               0.001208,               0.001208,               0.001208
                     42,                 2.6482,                 1.7436,                 2.1693,                0.73681,                 0.5614,                0.63049,                0.30824,                  3.734,                 2.3769,                 2.3724,              0.0011882,              0.0011882,              0.0011882
                     43,                 2.7269,                 1.7129,                 2.1548,                0.69791,                 0.5614,                0.60652,                0.25216,                 3.9503,                 2.5725,                 2.4713,              0.0011684,              0.0011684,              0.0011684
                     44,                 2.6616,                 1.7146,                 2.1661,                0.76717,                0.60526,                0.67468,                0.33097,                 3.5879,                 2.3308,                 2.3993,              0.0011486,              0.0011486,              0.0011486
                     45,                 2.5879,                 1.7534,                  2.172,                0.72625,                0.50877,                0.57688,                0.24703,                 4.0046,                 2.6317,                 2.4971,              0.0011288,              0.0011288,              0.0011288
